date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-09-01,-2%,4%,bear,50%,-0.09340009259418025,0.0,1586.16
2022-09-02,0%,4%,neutral,100%,-0.006815201492913814,0.0,1575.35
2022-09-05,0%,4%,neutral,100%,0.026946392865077717,0.0,1617.8
2022-09-06,2%,4%,bull,100%,-0.036339473358882435,10000.0,1559.01
2022-09-07,0%,4%,neutral,100%,0.04553530766319658,10455.353076631965,1630.0
2022-09-08,0%,4%,neutral,100%,0.0032944785276072253,10489.798012841482,1635.37
2022-09-09,2%,4%,bull,100%,0.0506674330579624,11021.289151448676,1718.23
2022-09-12,-2%,4%,bear,50%,-0.0010825093264581476,5504.67925157632,1716.37
2022-09-13,0%,4%,neutral,100%,-0.08271526535653728,5049.35824657956,1574.4
2022-09-14,2%,4%,bull,100%,0.040644054878048674,10759.263891828788,1638.39
2022-09-15,2%,4%,bull,100%,-0.10109924987335128,9671.510383175462,1472.75
2022-09-16,2%,4%,bull,100%,-0.026379222542861958,9416.383458452077,1433.9
2022-09-19,2%,4%,bull,100%,-0.040393332868400966,9036.024346998318,1375.98
2022-09-20,2%,4%,bull,100%,-0.03855433945260833,8687.646397022112,1322.93
2022-09-21,0%,4%,neutral,100%,-0.058317522469064964,8181.004383060484,1245.78
2022-09-22,2%,4%,bull,100%,0.06476263866814369,8710.82781386313,1326.46
2022-09-23,2%,4%,bull,100%,0.0005955701641964239,8716.01572301452,1327.25
2022-09-26,2%,4%,bull,100%,0.00672066302505181,8774.593127609953,1336.17
2022-09-27,2%,4%,bull,100%,-0.006099523264255335,8721.072292693721,1328.02
2022-09-28,-2%,4%,bear,50%,0.0069125464977937146,4390.6785552137935,1337.2
2022-09-29,2%,4%,bull,100%,-0.0011217469338916652,8776.43188022057,1335.7
2022-09-30,2%,4%,bull,100%,-0.005225724339297799,8730.568666531914,1328.72
2022-10-03,2%,4%,bull,100%,-0.0042371605755916475,8693.57584517559,1323.09
2022-10-04,-2%,4%,bear,50%,0.029022968959027784,4472.944613536537,1361.49
2022-10-05,2%,4%,bull,100%,-0.006823406708826307,4442.423893252323,1352.2
2022-10-06,2%,4%,bull,100%,-0.00010353498003257133,4441.963946983239,1352.06
