date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-09-01,2%,4%,bull,100%,-38.469758495405%,10000.0,100.0
2022-09-02,2%,4%,bull,100%,5.922195206668989%,10592.2195206669,105.92219520666899
2022-09-05,2%,4%,bull,100%,-0.9837678307919354%,10488.016672455715,104.88016672455714
2022-09-06,0%,4%,neutral,100%,-10.399072694154663%,9397.360194511984,93.97360194511984
2022-09-07,2%,4%,bull,100%,5.913879135095182%,9953.108718304968,99.53108718304968
2022-09-08,2%,4%,bull,100%,1.1341825161402872%,10065.995137200418,100.65995137200417
2022-09-09,0%,4%,neutral,100%,5.469289164941342%,10616.533518582843,106.16533518582841
2022-09-12,0%,4%,neutral,100%,0.4089645018812367%,10659.951372004169,106.59951372004168
2022-09-13,2%,4%,bull,100%,-3.714565004887587%,10263.980548801668,102.63980548801668
2022-09-14,2%,4%,bull,100%,1.8274111675126874%,10451.5456755818,104.515456755818
2022-09-15,0%,4%,neutral,100%,-6.380857427716843%,9784.64744703022,97.8464744703022
2022-09-16,0%,4%,neutral,100%,-0.6922257720979775%,9716.91559569295,97.1691559569295
2022-09-19,0%,4%,neutral,100%,-5.4334226988382595%,9188.954498089615,91.88954498089615
2022-09-20,2%,4%,bull,100%,-1.152901152901152%,9083.014935741578,90.83014935741578
2022-09-21,2%,4%,bull,100%,-2.313575525812608%,8872.872525182356,88.72872525182358
2022-09-22,0%,4%,neutral,100%,4.85417889998042%,9303.577631121918,93.03577631121918
2022-09-23,2%,4%,bull,100%,3.0800821355236114%,9590.135463702674,95.90135463702676
2022-09-26,0%,4%,neutral,100%,-3.223469757334301%,9281.000347342828,92.81000347342828
2022-09-27,2%,4%,bull,100%,-1.4782934131736511%,9143.799930531435,91.43799930531436
2022-09-28,2%,4%,bull,100%,1.2155745489078833%,9254.949635290031,92.54949635290033
2022-09-29,2%,4%,bull,100%,1.2572715331206636%,9371.309482459188,93.7130948245919
2022-09-30,2%,4%,bull,100%,-0.8895478131949667%,9287.94720389024,92.87947203890242
2022-10-03,2%,4%,bull,100%,1.2902019446522155%,9407.780479333103,94.07780479333105
2022-10-04,0%,4%,neutral,100%,2.049104670481815%,9600.555748523793,96.00555748523796
2022-10-05,2%,4%,bull,100%,-1.1758321273516616%,9487.669329628345,94.87669329628346
2022-10-06,-2%,4%,bear,50%,-2.0135456708768102%,9296.630774574505,92.96630774574507
2022-10-07,0%,4%,neutral,100%,-1.3076779376050867%,9235.845779784648,91.75060784994791
2022-10-10,2%,4%,bull,100%,-0.37857278061706556%,9218.478638416118,91.4032650225773
2022-10-11,0%,4%,neutral,100%,-1.1400342010260336%,9113.384829123896,90.36123654046546
2022-10-12,0%,4%,neutral,100%,0.3843936190659153%,9148.416098887968,90.70857936783607
2022-10-13,0%,4%,neutral,100%,-2.1635075627034186%,8950.48942472095,88.7460923931921
2022-10-14,2%,4%,bull,100%,0.41095890410959074%,8987.272257973229,89.11080236193123
2022-10-17,2%,4%,bull,100%,0.9939582927304579%,9076.601995871617,89.99652657172629
2022-10-18,0%,4%,neutral,100%,0.07719027402547114%,9083.608249824432,90.0659951372004
2022-10-19,-2%,4%,bear,50%,-1.7740069417662971%,8922.464408909691,88.46821813129557
2022-10-20,0%,4%,neutral,100%,0.5496662740479018%,8946.986297744543,88.95449808961445
2022-10-21,2%,4%,bull,100%,0.8004685669660361%,8982.893349252718,89.6665508857242
2022-10-24,-2%,4%,bear,50%,1.7625411582413257%,9141.220541734221,91.2469607502605
2022-10-25,0%,4%,neutral,100%,6.433193757137425%,9435.256756342726,97.11705453282389
2022-10-26,0%,4%,neutral,100%,0.840486409155935%,9476.14344890663,97.93331017714482
2022-10-27,-2%,4%,bear,50%,-2.9083170774960108%,9333.474989747474,95.08509899270577
2022-10-28,-2%,4%,bear,50%,0.3105022831050259%,9340.869391594139,95.38034039597079
2022-10-31,0%,4%,neutral,100%,0.16387472687544846%,9342.826733259431,95.53664466828756
2022-11-01,0%,4%,neutral,100%,0.16360661697873735%,9344.784074924724,95.69294894060435
2022-11-02,2%,4%,bull,100%,10.61705989110708%,9472.01128316879,105.85272664119483
2022-11-03,2%,4%,bull,100%,1.460213289581625%,9610.322850716291,107.39840222299408
2022-11-04,-2%,4%,bear,50%,9.282018111254843%,10502.35475826984,117.36714136853071
2022-11-07,-2%,4%,bear,50%,-0.2367564368156209%,10489.922257816132,117.08926710663422
2022-11-08,2%,4%,bull,100%,-14.23909819044794%,10116.94724420489,100.41681139284472
2022-11-09,0%,4%,neutral,100%,-12.348668280871673%,8867.63898886724,88.01667245571377
2022-11-10,0%,4%,neutral,100%,19.49486977111287%,10596.37366151934,105.17540812782215
2022-11-11,-2%,4%,bear,50%,1.5356671070013204%,10759.098686374244,106.79055227509552
2022-11-14,0%,4%,neutral,100%,-7.789884534070579%,10340.038004086615,98.4716915595693
2022-11-15,2%,4%,bull,100%,2.3104056437389686%,10454.645414065068,100.74678707884681
2022-11-16,-2%,4%,bear,50%,-0.8963971729012171%,10360.930268136543,99.84369572768321
2022-11-17,0%,4%,neutral,100%,8.871108018785879%,10820.494926055278,108.70093782563389
2022-11-18,0%,4%,neutral,100%,0.04793097938966932%,10823.198247572447,108.75303924973946
2022-11-21,-2%,4%,bear,50%,-2.091983391887568%,10705.153207989399,106.47794373046194
2022-11-22,-2%,4%,bear,50%,15.250366987440863%,11126.420811081574,122.71622091003817
2022-11-23,0%,4%,neutral,100%,11.831304840079254%,11314.752210111017,137.2351510941299
2022-11-24,-2%,4%,bear,50%,-0.4555808656036439%,11306.64224555951,136.6099340048628
2022-11-25,-2%,4%,bear,50%,-5.797101449275365%,11255.279136733297,128.69051754081278
2022-11-28,0%,4%,neutral,100%,-0.17543859649122193%,11254.54698715573,128.4647447030219
2022-11-29,0%,4%,neutral,100%,2.473975936190345%,11264.853400439939,131.64293157346302
2022-11-30,2%,4%,bull,100%,4.432717678100263%,11283.776651060121,137.47829107328937
2022-12-01,2%,4%,bull,100%,-2.0085901970692315%,11057.131819387741,134.716915595693
