date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-09-01,0%,4%,neutral,100%,53.00096805421103%,10000.0,100.0
2022-09-02,0%,4%,neutral,100%,-1.202151217968994%,10000.0,98.79784878203101
2022-09-05,0%,4%,neutral,100%,3.0419468459814256%,10000.0,101.8032268269535
2022-09-06,0%,4%,neutral,100%,-4.0397762585456825%,10000.0,97.69060423916483
2022-09-07,2%,4%,bull,100%,5.861398963730566%,10000.0,103.41664030370137
2022-09-08,-2%,4%,bear,50%,2.814316304680336%,10281.431630468034,106.32711167352106
2022-09-09,-2%,4%,bear,50%,3.1538232668848623%,10443.560721933314,109.68048086048722
2022-09-12,0%,4%,neutral,100%,7.989616383040081%,10655.39920464974,118.44353052831384
2022-09-13,0%,4%,neutral,100%,-11.858974358974354%,10315.845824411135,104.39734261309715
2022-09-14,-2%,4%,bear,50%,3.393939393939386%,10401.498929336187,107.94052515026894
2022-09-15,2%,4%,bull,100%,-3.077373974208667%,10361.34903640257,104.6187915216704
2022-09-16,0%,4%,neutral,100%,-2.479588751133959%,10104.430191230203,102.02467573552678
2022-09-19,0%,4%,neutral,100%,1.1472868217054184%,10220.35698722261,103.19519139512816
2022-09-20,2%,4%,bull,100%,-3.7093807480073493%,9841.245032760951,99.36728883264794
2022-09-21,0%,4%,neutral,100%,-2.419611588666035%,9603.125127479247,96.96298639670994
2022-09-22,0%,4%,neutral,100%,5.80750407830343%,10160.827010902185,102.59411578614367
2022-09-23,2%,4%,bull,100%,3.7927844588344026%,10546.205278660733,106.4852894653591
2022-09-26,0%,4%,neutral,100%,0.6535947712418478%,10615.13472492649,107.18127174944644
2022-09-27,0%,4%,neutral,100%,-3.51239669421489%,10242.289083761716,103.4166403037014
2022-09-28,0%,4%,neutral,100%,1.6212909146528027%,10408.34638612922,105.09332489718447
2022-09-29,2%,4%,bull,100%,2.1372667068031332%,10630.800508168708,107.33944954128445
2022-09-30,0%,4%,neutral,100%,-2.0041261420571757%,10417.74585607455,105.18823157228731
2022-10-03,0%,4%,neutral,100%,-1.0827067669172916%,10304.952216730586,104.04935147105351
2022-10-04,0%,4%,neutral,100%,3.648525387655831%,10680.931014543803,107.84561847516615
2022-10-05,0%,4%,neutral,100%,-0.14667057788208934%,10665.265231301584,107.6874406833281
2022-10-06,0%,4%,neutral,100%,-1.9976498237367795%,10452.210579207429,105.53622271433095
2022-10-07,-2%,4%,bear,50%,-1.1390887290167941%,10333.150626566576,104.33407149636194
2022-10-10,0%,4%,neutral,100%,-3.0927835051546273%,10173.35963749596,101.10724454286623
2022-10-11,0%,4%,neutral,100%,-3.62953692115144%,9991.636551886237,97.43751977222402
2022-10-12,0%,4%,neutral,100%,1.168831168831167%,10048.03337155822,98.57639987345782
2022-10-13,0%,4%,neutral,100%,-2.15019255455713%,9943.072623835364,96.45681746282827
