date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-09-01,0%,4%,neutral,100%,-21.78915238318854%,10000.0,100.0
2022-09-02,0%,4%,neutral,100%,-0.510357250075063%,10000.0,99.48964274992494
2022-09-05,0%,4%,neutral,100%,0.4526252263126136%,10000.0,99.9399579705794
2022-09-06,0%,4%,neutral,100%,-3.5145689396215047%,10000.0,96.42749924947462
2022-09-07,0%,4%,neutral,100%,4.8879202988792%,10000.0,101.14079855899126
2022-09-08,0%,4%,neutral,100%,0.8014247551202244%,10000.0,101.9513659561693
2022-09-09,0%,4%,neutral,100%,5.0647820965842145%,10000.0,107.11498048634041
2022-09-12,0%,4%,neutral,100%,0.840807174887893%,10000.0,108.01561092764935
2022-09-13,0%,4%,neutral,100%,-7.559755419677599%,10000.0,99.84989492644851
2022-09-14,0%,4%,neutral,100%,2.67588695129285%,10000.0,102.52176523566499
2022-09-15,0%,4%,neutral,100%,-4.509516837481705%,10000.0,97.8985289702792
2022-09-16,0%,4%,neutral,100%,8.923643054277832%,10000.0,106.6346442509757
2022-09-19,0%,4%,neutral,100%,8.333333333333321%,10000.0,115.52086460522366
2022-09-20,0%,4%,neutral,100%,7.5883575883575904%,10000.0,124.28700090063045
2022-09-21,-2%,4%,bear,50%,-4.927536231884052%,10000.0,118.16271389972982
2022-09-22,2%,4%,bull,100%,23.526422764227643%,10000.0,145.96217352146505
2022-09-23,0%,4%,neutral,100%,4.257507198683668%,10425.750719868367,152.17652356649657
2022-09-26,0%,4%,neutral,100%,-7.6149141842572545%,9631.838749485807,140.58841188832184
2022-09-27,0%,4%,neutral,100%,-4.825966260943841%,9167.009461127107,133.8036625637947
2022-09-28,0%,4%,neutral,100%,0.7179717298631448%,9232.82599753188,134.7643350345242
2022-09-29,0%,4%,neutral,100%,8.643350412118512%,10030.851501439736,146.41248874211954
2022-09-30,0%,4%,neutral,100%,-1.599343858929676%,9870.423693953106,144.07084959471635
2022-10-03,0%,4%,neutral,100%,-3.7091060637632802%,9504.319210201564,138.72710897628346
2022-10-04,0%,4%,neutral,100%,3.765418740532346%,9862.196626902509,143.95076553587518
2022-10-05,2%,4%,bull,100%,1.9186652763295187%,10051.419169066228,146.71269888922254
2022-10-06,0%,4%,neutral,100%,0.9617352158788586%,10148.087206910735,148.1236865806065
2022-10-07,-2%,4%,bear,50%,4.925010133765716%,10647.881530234472,155.41879315520873
2022-10-10,0%,4%,neutral,100%,-4.597257098705822%,10403.126285479226,148.27379165415798
2022-10-11,0%,4%,neutral,100%,-1.5792670581089348%,10322.91238173591,145.9321525067548
2022-10-12,0%,4%,neutral,100%,0.4114379757251598%,10343.480049362402,146.53257280096074
2022-10-13,0%,4%,neutral,100%,-1.8438844499077962%,10250.925545043192,143.830681477034
2022-10-14,0%,4%,neutral,100%,1.9202671676059249%,10345.536816125052,146.59261483038134
2022-10-17,0%,4%,neutral,100%,-1.6178578742576322%,10264.29452900041,144.22095466826784
2022-10-18,0%,4%,neutral,100%,-3.0391340549542054%,10114.150555327025,139.83788652056444
2022-10-19,0%,4%,neutral,100%,-3.3061399742378637%,9955.779514603044,135.21465025517867
2022-10-20,0%,4%,neutral,100%,-0.8658969804618148%,9915.672562731386,134.0438306814771
2022-10-21,0%,4%,neutral,100%,3.3370660694288845%,10068.901686548745,138.51696187331135
2022-10-24,0%,4%,neutral,100%,-1.8422193324663962%,9981.489099136157,135.9651756229361
2022-10-25,0%,4%,neutral,100%,1.6780746301611824%,10059.646236116823,138.2467727409187
2022-10-26,0%,4%,neutral,100%,1.8241042345276792%,10146.030440148086,140.76853797658364
2022-10-27,0%,4%,neutral,100%,-1.5781616549370787%,10069.93006993007,138.54698288802166
2022-10-28,-2%,4%,bear,50%,2.795232936077999%,10202.591526120937,142.41969378565
2022-10-31,0%,4%,neutral,100%,-2.1711635750421534%,10149.629781982723,139.32752927048938
2022-11-01,0%,4%,neutral,100%,-0.107735401853049%,10147.058823529413,139.1774241969379
2022-11-02,0%,4%,neutral,100%,-2.9982743744607467%,10075.586178527356,135.00450315220655
2022-11-03,0%,4%,neutral,100%,1.1340893929286178%,10101.809954751132,136.53557490243173
2022-11-04,0%,4%,neutral,100%,11.34564643799472%,10367.132867132867,152.02641849294508
2022-11-07,0%,4%,neutral,100%,-8.214849921011053%,10153.22912381736,139.53767637346147
2022-11-08,2%,4%,bull,100%,-12.672117039586922%,9850.370218017277,121.85529870909639
2022-11-09,0%,4%,neutral,100%,-17.93545208179354%,8083.661787685526,100.00000000000001
2022-11-10,0%,4%,neutral,100%,18.342839987991592%,9566.434934571103,118.34283998799161
2022-11-11,0%,4%,neutral,100%,-2.51141552511416%,9326.182002424339,115.37075953167218
2022-11-14,0%,4%,neutral,100%,-1.7434296122820672%,9163.586583698752,113.35935154608227
2022-11-15,-2%,4%,bear,50%,2.966101694915251%,9435.387880672868,116.72170519363554
2022-11-16,-2%,4%,bear,50%,-3.4979423868312765%,9270.365664652869,112.63884719303512
2022-11-17,0%,4%,neutral,100%,1.7857142857142965%,9311.014519334265,114.65025517862505
2022-11-18,-2%,4%,bear,50%,0.26184865147944514%,9317.081512570296,114.95046532572802
2022-11-21,0%,4%,neutral,100%,-4.805432227735708%,9261.265174798826,109.42659861903333
2022-11-22,0%,4%,neutral,100%,3.0727023319615876%,9295.24033692059,112.78895226658662
