date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2019-01-01,0%,4%,neutral,100%,0.0%,10000.0,4285.08
2019-01-02,0%,4%,neutral,100%,-4.123843662195337%,10000.0,4108.37
2019-01-03,0%,4%,neutral,100%,-2.2483369316784962%,10000.0,4016.0
2019-01-04,0%,4%,neutral,100%,0.5976095617529875%,10000.0,4040.0
2019-01-07,0%,4%,neutral,100%,1.8319306930693058%,10000.0,4114.01
2019-01-08,0%,4%,neutral,100%,4.910051263852067%,10000.0,4316.01
2019-01-09,0%,4%,neutral,100%,-0.8185801237717172%,10000.0,4280.68
2019-01-10,0%,4%,neutral,100%,2.4764757001223936%,10000.0,4386.69
2019-01-11,0%,4%,neutral,100%,4.577255288155757%,10000.0,4587.48
2019-01-14,0%,4%,neutral,100%,-0.7049622014700718%,10000.0,4555.14
2019-01-15,0%,4%,neutral,100%,3.726559447130051%,10000.0,4724.89
2019-01-16,0%,4%,neutral,100%,2.3285198173925714%,10000.0,4834.91
2019-01-17,0%,4%,neutral,100%,-15.197800993193255%,10000.0,4100.11
2019-01-18,0%,4%,neutral,100%,6.496411071898089%,10000.0,4366.47
2019-01-21,0%,4%,neutral,100%,5.8010246262999665%,10000.0,4619.77
2019-01-22,0%,4%,neutral,100%,1.5550557711747404%,10000.0,4691.61
2019-01-23,0%,4%,neutral,100%,-8.713639880552726%,10000.0,4282.8
2019-01-24,0%,4%,neutral,100%,-1.7355468385168549%,10000.0,4208.47
2019-01-25,0%,4%,neutral,100%,-1.063331804670109%,10000.0,4163.72
2019-01-28,0%,4%,neutral,100%,-5.260440183297632%,10000.0,3944.69
2019-01-29,0%,4%,neutral,100%,-19.15663841772104%,10000.0,3189.02
2019-01-30,0%,4%,neutral,100%,16.023104276548917%,10000.0,3700.0
2019-01-31,0%,4%,neutral,100%,9.054324324324337%,10000.0,4035.01
2019-02-01,0%,4%,neutral,100%,-3.0971422623487954%,10000.0,3910.04
2019-02-04,0%,4%,neutral,100%,-0.2567748667532843%,10000.0,3900.0
2019-02-05,0%,4%,neutral,100%,-7.436153846153848%,10000.0,3609.99
2019-02-06,0%,4%,neutral,100%,-0.3911368175535057%,10000.0,3595.87
2019-02-07,2%,4%,bull,100%,9.034809378537044%,10000.0,3920.75
2019-02-08,0%,4%,neutral,100%,-0.9794044506790778%,9902.059554932091,3882.35
2019-02-11,0%,4%,neutral,100%,8.001596970906789%,10694.382452336926,4193.0
2019-02-12,0%,4%,neutral,100%,-0.44121154304793686%,10647.197602499522,4174.5
2019-02-13,0%,4%,neutral,100%,0.0045514432866156085%,10647.682203660013,4174.69
2019-02-14,0%,4%,neutral,100%,4.917969957050716%,11171.332015558248,4380.0
2019-02-15,0%,4%,neutral,100%,-1.5981735159817378%,10992.794745903208,4310.0
2019-02-18,0%,4%,neutral,100%,-2.352900232018562%,10734.145252821527,4208.59
2019-02-19,0%,4%,neutral,100%,1.9921161244027097%,10947.981891219792,4292.43
2019-02-20,0%,4%,neutral,100%,1.7838380590947223%,11143.27615889817,4369.0
2019-02-21,0%,4%,neutral,100%,9.566262302586392%,12209.271185359943,4786.95
2019-02-22,0%,4%,neutral,100%,-0.08126259935865576%,12199.349614231971,4783.06
2019-02-25,0%,4%,neutral,100%,0.8022061190952945%,12297.21354332717,4821.43
2019-02-26,0%,4%,neutral,100%,12.62218885268478%,13849.391060383854,5430.0
2019-02-27,0%,4%,neutral,100%,4.051197053406996%,14410.457182936936,5649.98
2019-02-28,0%,4%,neutral,100%,1.947617513690325%,14691.117770834662,5760.02
2019-03-01,0%,4%,neutral,100%,-2.8649206079145673%,14270.22891028502,5595.0
2019-03-04,0%,4%,neutral,100%,-1.4823949955317217%,14058.687751068035,5512.06
2019-03-05,0%,4%,neutral,100%,3.1175277482465624%,14496.971242746922,5683.9
2019-03-06,0%,4%,neutral,100%,5.737433804254133%,15328.725371421284,6010.01
2019-03-07,0%,4%,neutral,100%,-1.565388410335422%,15088.77128100491,5915.93
2019-03-08,0%,4%,neutral,100%,-7.418951880769386%,13969.342600267804,5477.03
2019-03-11,0%,4%,neutral,100%,3.8882386987107997%,14512.503985206911,5689.99
2019-03-12,0%,4%,neutral,100%,3.0189859736133196%,14950.634444940382,5861.77
2019-03-13,0%,4%,neutral,100%,-1.5855279207474982%,14713.58796148696,5768.83
2019-03-14,0%,4%,neutral,100%,6.0960368046900415%,15610.533698909647,6120.5
2019-03-15,0%,4%,neutral,100%,5.595948043460508%,16484.091054007524,6463.0
2019-03-18,0%,4%,neutral,100%,4.502243540151629%,17226.24497863929,6753.98
2019-03-19,0%,4%,neutral,100%,3.9384185324801146%,17904.686603328442,7019.98
2019-03-20,0%,4%,neutral,100%,1.3541349120652857%,18147.14021551999,7115.04
2019-03-21,0%,4%,neutral,100%,-2.177359508871346%,17752.011732449148,6960.12
2019-03-22,0%,4%,neutral,100%,1.4930777055568%,18017.063061914174,7064.04
2019-03-25,0%,4%,neutral,100%,3.3827668019999813%,18626.53828986801,7303.0
2019-03-26,0%,4%,neutral,100%,-3.0536765712720793%,18057.744054071285,7079.99
2019-03-27,0%,4%,neutral,100%,-8.093373013238725%,16596.26346999936,6506.98
2019-03-28,0%,4%,neutral,100%,-0.6299389271213318%,16491.717145954215,6465.99
2019-03-29,0%,4%,neutral,100%,1.6857434051088749%,16769.72518013135,6574.99
2019-04-01,0%,4%,neutral,100%,10.115148464104129%,18466.00777912389,7240.06
2019-04-02,0%,4%,neutral,100%,8.624790402289474%,20058.6622457438,7864.5
2019-04-03,0%,4%,neutral,100%,-2.101977239493935%,19637.0337307913,7699.19
2019-04-04,0%,4%,neutral,100%,6.660570787316589%,20944.97226295989,8212.0
2019-04-05,0%,4%,neutral,100%,-1.1262786166585492%,20709.07351909711,8119.51
2019-04-08,0%,4%,neutral,100%,1.0642267821580287%,20929.46502582414,8205.92
2019-04-09,0%,4%,neutral,100%,-2.265803224988794%,20455.244532296114,8019.99
2019-04-10,-2%,4%,bear,100%,1.4714482187633715%,20756.23286361028,8138.0
2019-04-11,0%,4%,neutral,100%,18.57950356352913%,20756.23286361028,9650.0
2019-04-12,0%,4%,neutral,100%,2.5575129533678576%,20756.23286361028,9896.8
2019-04-15,0%,4%,neutral,100%,-2.110985369008167%,20756.23286361028,9687.88
2019-04-16,0%,4%,neutral,100%,1.559474312233422%,20756.23286361028,9838.96
2019-04-17,0%,4%,neutral,100%,9.594814899135695%,20756.23286361028,10782.99
2019-04-18,0%,4%,neutral,100%,7.382089754326038%,20756.23286361028,11579.0
2019-04-19,0%,4%,neutral,100%,1.0449088867777956%,20756.23286361028,11699.99
2019-04-22,0%,4%,neutral,100%,15.812492147429191%,20756.23286361028,13550.05
2019-04-23,0%,4%,neutral,100%,22.501392983789724%,20756.23286361028,16599.0
2019-04-24,0%,4%,neutral,100%,-4.331586240134944%,20756.23286361028,15880.0
2019-04-25,0%,4%,neutral,100%,4.458249370277079%,20756.23286361028,16587.97
2019-04-26,0%,4%,neutral,100%,-1.4346541499653198%,20756.23286361028,16349.99
2019-04-29,0%,4%,neutral,100%,-1.9370042428160428%,20756.23286361028,16033.29
2019-04-30,0%,4%,neutral,100%,1.8816474971761865%,20756.23286361028,16334.98
2019-05-01,0%,4%,neutral,100%,7.375889043023021%,20756.23286361028,17539.83
2019-05-02,2%,4%,bull,100%,7.505317896467623%,20756.23286361028,18856.25
2019-05-03,0%,4%,neutral,100%,-8.278687437852172%,19037.88922095923,17295.2
2019-05-06,0%,4%,neutral,100%,-4.6615245848559255%,18150.43333448658,16488.98
2019-05-07,0%,4%,neutral,100%,-6.042459873200167%,17053.700683438285,15492.64
2019-05-08,0%,4%,neutral,100%,-13.981025829038817%,14669.418386079808,13326.61
2019-05-09,0%,4%,neutral,100%,2.7968853294273677%,15079.705196832394,13699.34
2019-05-10,0%,4%,neutral,100%,14.52383837469542%,17269.857207000878,15689.01
2019-05-13,0%,4%,neutral,100%,-1.4597479382064238%,17017.760822490487,15459.99
2019-05-14,0%,4%,neutral,100%,-8.265723328410946%,15611.119796212713,14182.11
2019-05-15,0%,4%,neutral,100%,1.3875932424723736%,15827.738639579227,14378.9
2019-05-16,-2%,4%,bear,100%,-6.946984818031976%,14728.188039249879,13380.0
2019-05-17,2%,4%,bull,100%,9.679446935724979%,14728.18803924988,14675.11
2019-05-20,0%,4%,neutral,100%,1.6654048930468068%,14973.472003512681,14919.51
2019-05-21,0%,4%,neutral,100%,0.9385696983345904%,15114.008474526265,15059.54
2019-05-22,0%,4%,neutral,100%,12.622231489142411%,17021.733611469575,16960.39
2019-05-23,0%,4%,neutral,100%,-12.133270520312323%,14956.440625143043,14902.54
2019-05-24,0%,4%,neutral,100%,-3.372176823548201%,14452.08300075422,14400.0
2019-05-27,0%,4%,neutral,100%,3.521458333333327%,14961.00708192453,14907.09
2019-05-28,0%,4%,neutral,100%,-11.191386112245915%,13286.663013105901,13238.78
2019-05-29,0%,4%,neutral,100%,3.7860739433694057%,13789.705899388402,13740.01
2019-05-30,0%,4%,neutral,100%,-1.4561852575070922%,13588.902235027923,13539.93
2019-05-31,-2%,4%,bear,100%,-19.49736815478367%,10939.423938070902,10900.0
2019-06-03,0%,4%,neutral,100%,0.81458715596332%,10939.423938070902,10988.79
2019-06-04,0%,4%,neutral,100%,-0.24406690818553622%,10939.423938070902,10961.97
2019-06-05,0%,4%,neutral,100%,4.679906987521409%,10939.423938070902,11474.98
2019-06-06,0%,4%,neutral,100%,-6.230337656361929%,10939.423938070902,10760.05
2019-06-07,0%,4%,neutral,100%,0.36366002016721133%,10939.423938070902,10799.18
2019-06-10,0%,4%,neutral,100%,5.100479851247952%,10939.423938070902,11349.99
2019-06-11,0%,4%,neutral,100%,-1.539384616197892%,10939.423938070902,11175.27
2019-06-12,0%,4%,neutral,100%,-0.7719723997720029%,10939.423938070902,11089.0
2019-06-13,2%,4%,bull,100%,1.460907205338624%,10939.423938070902,11251.0
2019-06-14,0%,4%,neutral,100%,-9.007999288952096%,9954.00070751402,10237.51
2019-06-17,0%,4%,neutral,100%,0.46485913078473384%,10000.272788681277,10285.1
2019-06-18,0%,4%,neutral,100%,-10.31181028867002%,8969.063630362973,9224.52
2019-06-19,0%,4%,neutral,100%,-3.810387965986306%,8627.307509129967,8873.03
2019-06-20,0%,4%,neutral,100%,-21.78556817682349%,6747.799549904247,6939.99
2019-06-21,0%,4%,neutral,100%,10.26154216360544%,7440.2278458332485,7652.14
2019-06-24,0%,4%,neutral,100%,-0.6944462594777434%,7388.559461861238,7599.0
2019-06-25,0%,4%,neutral,100%,2.434794051848943%,7568.455668155957,7784.02
2019-06-26,-2%,4%,bear,100%,11.560864437655605%,8443.434567975528,8683.92
2019-06-27,2%,4%,bull,100%,2.522823793862683%,8443.434567975528,8903.0
2019-06-28,-2%,4%,bear,100%,-4.078400539144111%,8099.077487032934,8539.9
2019-07-01,0%,4%,neutral,100%,10.656916357334389%,8099.077487032934,9449.99
2019-07-02,2%,4%,bull,100%,5.821170181132462%,8099.077487032934,10000.09
2019-07-03,-2%,4%,bear,100%,1.598885610029499%,8228.572471518242,10159.98
2019-07-04,0%,4%,neutral,100%,9.773838137476654%,8228.572471518242,11153.0
2019-07-05,2%,4%,bull,100%,0.43028781493767987%,8228.572471518242,11200.99
2019-07-08,0%,4%,neutral,100%,-6.815379711971881%,7667.764012709485,10437.6
2019-07-09,0%,4%,neutral,100%,-6.002912546945649%,7207.474844720364,9811.04
2019-07-10,-2%,4%,bear,100%,3.2616317943867212%,7442.556135828189,10131.04
2019-07-11,0%,4%,neutral,100%,1.904641576777899%,7442.556135828189,10324.0
2019-07-12,0%,4%,neutral,100%,2.373498643936478%,7442.556135828189,10569.04
2019-07-15,0%,4%,neutral,100%,-2.2923557863344324%,7442.556135828189,10326.76
2019-07-16,0%,4%,neutral,100%,5.744686620004713%,7442.556135828189,10920.0
2019-07-17,2%,4%,bull,100%,1.0897435897435859%,7442.556135828189,11039.0
2019-07-18,0%,4%,neutral,100%,3.759398496240607%,7722.351479280376,11454.0
2019-07-19,0%,4%,neutral,100%,-6.438973284442118%,7225.111330598792,10716.48
2019-07-22,0%,4%,neutral,100%,-7.525605422676096%,6681.377960508864,9910.0
