date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-09-01,2%,4%,bull,100%,-0.16288742788139,10000.0,0.06239
2022-09-02,2%,4%,bull,100%,-0.011860875140246807,9881.391248597532,0.06165
2022-09-05,0%,4%,neutral,100%,0.017842660178426506,10057.701554736335,0.06275
2022-09-06,2%,4%,bull,100%,-0.06151394422310763,9439.012662285622,0.05889
2022-09-07,2%,4%,bull,100%,0.03532008830022093,9772.399422984454,0.06097
2022-09-08,0%,4%,neutral,100%,-0.0001640150893882364,9770.796602019554,0.06096
2022-09-09,2%,4%,bull,100%,0.04740813648293973,10234.01186087514,0.06385
2022-09-12,-2%,4%,bear,50%,0.0012529365700861828,10246.834428594326,0.06393
2022-09-13,0%,4%,neutral,100%,-0.0671046457062412,9559.22423465299,0.05964
2022-09-14,2%,4%,bull,100%,0.025318578135479664,9801.25020035262,0.06115
2022-09-15,2%,4%,bull,100%,-0.0417007358953394,9392.530854303574,0.0586
2022-09-16,2%,4%,bull,100%,0.03174061433447095,9690.655553774643,0.06046
2022-09-19,2%,4%,bull,100%,-0.03192193185577241,9381.311107549287,0.05853
2022-09-20,2%,4%,bull,100%,-0.002391935759439634,9358.87161404071,0.05839
2022-09-21,0%,4%,neutral,100%,-0.021236513101558496,9160.121814393333,0.05715
2022-09-22,2%,4%,bull,100%,0.04251968503937009,9549.6073088636,0.05958
2022-09-23,2%,4%,bull,100%,0.06361195031889877,10157.076454560025,0.06337
2022-09-26,2%,4%,bull,100%,-0.03534795644626798,9798.044558422824,0.06113
2022-09-27,2%,4%,bull,100%,-0.010633077048912143,9693.86119570444,0.06048
2022-09-28,-2%,4%,bear,50%,0.0004960317460318553,9698.669658599134,0.06051
2022-09-29,2%,4%,bull,100%,0.005784167906131232,9754.768392370572,0.06086
2022-09-30,2%,4%,bull,100%,0.013309234308248596,9884.596890527328,0.06167
2022-10-03,2%,4%,bull,100%,-0.02156640181611813,9671.421702195865,0.06034
2022-10-04,-2%,4%,bear,50%,0.09115014915478947,5276.486616444942,0.06584
2022-10-05,2%,4%,bull,100%,-0.016099635479951302,5191.537105305338,0.06478
2022-10-06,2%,4%,bull,100%,-0.020531028095090997,5084.949511139606,0.06345
2022-10-07,-2%,4%,bear,50%,-0.01733648542159183,2498.397179035102,0.06235
2022-10-10,2%,4%,bull,100%,-0.04763432237369691,2379.3877223914087,0.05938
2022-10-11,-2%,4%,bear,50%,0.014651397777029285,2414.249078377945,0.06025
2022-10-12,2%,4%,bull,100%,-0.00730290456431526,2396.6180477640646,0.05981
2022-10-13,-2%,4%,bear,50%,-0.002675137936799854,2390.2067639044717,0.05965
2022-10-14,2%,4%,bull,100%,-0.016596814752724343,2350.5369450232406,0.05866
2022-10-17,2%,4%,bull,100%,0.022502557108762478,2403.430036864882,0.05998
2022-10-18,0%,4%,neutral,100%,-0.0036678892964321363,2394.6145215579418,0.05976
2022-10-19,2%,4%,bull,100%,-0.01807228915662651,2351.3383555056903,0.05868
2022-10-20,0%,4%,neutral,100%,0.012610770279481986,2380.990543356307,0.05942
2022-10-21,2%,4%,bull,100%,-0.0015146415348367137,2377.3841961852863,0.05933
2022-10-24,2%,4%,bull,100%,0.0020225855385134217,4967.994658655685,0.05945
2022-10-25,2%,4%,bull,100%,0.060555088309503624,5268.832013931723,0.06305
2022-10-26,2%,4%,bull,100%,0.15226011102299775,6071.064961334492,0.07265
2022-10-27,-2%,4%,bear,50%,0.0583620096352373,6425.384513104047,0.07689
2022-10-28,-2%,4%,bear,50%,0.09077903498504347,3504.3373593057386,0.08387
2022-10-31,-2%,4%,bear,50%,0.5125789912960534,2650.293534049875,0.12686
2022-11-01,-2%,4%,bear,50%,0.12021125650323183,1484.4443249402004,0.14211
2022-11-02,-2%,4%,bear,50%,-0.10175216381676144,666.6994514060116,0.12765
2022-11-03,0%,4%,neutral,100%,-0.039404622013317736,640.4284115268714,0.12262
