date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-09-01,-2%,4%,bear,50%,-0.09340009259418025,0.0,1586.16
2022-09-02,0%,4%,neutral,100%,-0.006815201492913814,0.0,1575.35
2022-09-05,0%,4%,neutral,100%,0.026946392865077717,0.0,1617.8
2022-09-06,2%,4%,bull,100%,-0.036339473358882435,0.0,1559.01
2022-09-07,0%,4%,neutral,100%,0.04553530766319658,0.0,1630.0
2022-09-08,0%,4%,neutral,100%,0.0032944785276072253,0.0,1635.37
2022-09-09,2%,4%,bull,100%,0.0506674330579624,0.0,1718.23
2022-09-12,-2%,4%,bear,50%,-0.0010825093264581476,0.0,1716.37
2022-09-13,0%,4%,neutral,100%,-0.08271526535653728,0.0,1574.4
2022-09-14,2%,4%,bull,100%,0.040644054878048674,0.0,1638.39
2022-09-15,2%,4%,bull,100%,-0.10109924987335128,0.0,1472.75
2022-09-16,2%,4%,bull,100%,-0.026379222542861958,0.0,1433.9
2022-09-19,2%,4%,bull,100%,-0.040393332868400966,0.0,1375.98
2022-09-20,2%,4%,bull,100%,-0.03855433945260833,0.0,1322.93
2022-09-21,0%,4%,neutral,100%,-0.058317522469064964,0.0,1245.78
2022-09-22,2%,4%,bull,100%,0.06476263866814369,0.0,1326.46
2022-09-23,2%,4%,bull,100%,0.0005955701641964239,0.0,1327.25
2022-09-26,2%,4%,bull,100%,0.00672066302505181,0.0,1336.17
2022-09-27,2%,4%,bull,100%,-0.006099523264255335,0.0,1328.02
2022-09-28,-2%,4%,bear,50%,0.0069125464977937146,0.0,1337.2
2022-09-29,2%,4%,bull,100%,-0.0011217469338916652,0.0,1335.7
2022-09-30,2%,4%,bull,100%,-0.005225724339297799,0.0,1328.72
2022-10-03,2%,4%,bull,100%,-0.0042371605755916475,0.0,1323.09
2022-10-04,-2%,4%,bear,50%,0.029022968959027784,0.0,1361.49
2022-10-05,2%,4%,bull,100%,-0.006823406708826307,0.0,1352.2
2022-10-06,2%,4%,bull,100%,-0.00010353498003257133,0.0,1352.06
2022-10-07,0%,4%,neutral,100%,-0.015502270609292546,0.0,1331.1
2022-10-10,2%,4%,bull,100%,-0.030854180752760807,2498.397179035102,1290.03
